"رقم الملف المروري","الاسم بالعربي","الجنسية","المركبات الغير منتهية","المركبات المنتهية","المهنة","الرقم الموحد","الدخول والخروج","تاريخ الدخول والخروج","السوابق","تحركات المركبات","عدد المركبات","لا توجد تحركات","عدد المركبات 222"
"     6503524","أنيل باتيل","الهند","           0","           1","مزارع","    71283767","خارج","22APR24:00:00:00","لاتوجد","           0","           1","           1","           1"
"    98390699","الخط الأخضر للباصات","الإمارات العربية المتحدة","           2","           4","مقاول","    65549035","خارج الدولة","22NOV24:00:00:00","لاتوجد","           1","           6","           5","           6"
"    24084605","عبدال علي","بنغلاديش","           2","           0","تاجر","    60278026","خارج","12MAR25:00:00:00","لاتوجد","           1","           2","           1","           2"
"    72522665","رام شريستا","نيبال","           5","          13","مترجم","    63781852","خارج","07JAN26:00:00:00","لاتوجد","          11","          18","           7","          18"
"      482552","عدنان إقبال","باكستان","           2","           2","سكرتير","    43144682","داخل الدولة","11APR24:00:00:00","لاتوجد","           1","           4","           3","           4"
"    47508530","زايد منصور","مصر","           0","           1","مشرف","    53790215","داخل","01AUG25:00:00:00","توجد","           1","           1","           0","           1"
"       75555","عثمان شيخ","باكستان","           0","           3","ضابط","    75548863","خارج","19APR24:00:00:00","لاتوجد","           2","           3","           1","           3"
"    89531915","ري ميندوزا","الفلبين","           1","           6","أخصائي تسويق","    58219994","خارج","12DEC25:00:00:00","توجد","           5","           7","           2","           7"
"    59311414","إبراهيم الظاهري","الإمارات العربية المتحدة","           2","           5","حداد","    28032557","داخل","12JAN24:00:00:00","لاتوجد","           3","           7","           4","           7"
"      268825","راجيش آير","الهند","           2","           0","مدير موارد بشرية","    80311374","داخل","14DEC25:00:00:00","لاتوجد","           1","           2","           1","           2"
"    22613888","سعيد الفلاسي","الإمارات العربية المتحدة","           0","           2","مندوب مبيعات","    98673693","داخل","05SEP25:00:00:00","لاتوجد","           1","           2","           1","           2"
"    77473404","عبدال شودري","بنغلاديش","           1","           3","سباك","    80910339","خارج الدولة","27MAR26:00:00:00","لاتوجد","           2","           4","           2","           4"
"    12946556","سلطان الكتبي","الإمارات العربية المتحدة","           1","           2","صياد","    91710481","خارج الدولة","26FEB26:00:00:00","لاتوجد","           1","           3","           2","           3"
"       53244","عمر علي","الأردن","           1","           0","حارس أمن","    40842871","داخل الدولة","31MAY25:00:00:00","توجد","           1","           1","           0","           1"
"     9728369","منصور الرميثي","الإمارات العربية المتحدة","           0","           1","مقاول","    18627507","داخل","15MAR26:00:00:00","توجد","           1","           1","           0","           1"
"      778409","حسن عبدالرحمن","مصر","           7","           7","حلاق","    11463107","داخل","21SEP24:00:00:00","توجد","           8","          14","           6","          14"
"    41397324","آصف إقبال","باكستان","           3","           6","معلم","    19697412","خارج الدولة","23MAY24:00:00:00","توجد","           3","           9","           6","           9"
"      333625","رحمن حسين","بنغلاديش","          11","           0","ممرض","    49488422","داخل","16MAY25:00:00:00","لاتوجد","           7","          11","           4","          11"
"    37947730","عبيد علي","اليمن","           4","           5","عامل توصيل","    37174553","خارج الدولة","07AUG25:00:00:00","توجد","           2","           9","           7","           9"
"    87410596","علي الفلاسي","الإمارات العربية المتحدة","           1","           0","مضيف طيران","    45785446","داخل","04AUG25:00:00:00","توجد","           0","           1","           1","           1"
"    56286088","سالم منصور","مصر","           1","           1","مدير مشروع","    56430840","خارج","30JUN24:00:00:00","لاتوجد","           1","           2","           1","           2"
"    74635157","نيها فيرما","الهند","           4","           4","مدير موارد بشرية","    32371149","خارج الدولة","15JAN25:00:00:00","توجد","           2","           8","           6","           8"
"    32201889","راميش شارما","الهند","           2","           0","مستشار","    28588226","خارج","09APR26:00:00:00","لاتوجد","           1","           2","           1","           2"
"    77374628","خالد المزروعي","الإمارات العربية المتحدة","           2","           4","مهندس معماري","    47229895","داخل","28MAR24:00:00:00","توجد","           1","           6","           5","           6"
"    41216829","سعيد حسن","العراق","          13","          14","مدير","    22287576","داخل الدولة","03MAR24:00:00:00","متوفى","           7","          27","          20","          27"
"     6087238","هدى إبراهيم","الأردن","           1","           2","طبيب","    76482462","خارج الدولة","04MAY24:00:00:00","توجد","           2","           3","           1","           3"
"    92817156","سعيد فهمي","السودان","           4","           4","مقاول","    49870391","خارج الدولة","15JAN24:00:00:00","لاتوجد","           6","           8","           2","           8"
"     7449133","لطيفة منصور","مصر","           3","           1","عامل نظافة","    28500580","خارج","28JAN24:00:00:00","لاتوجد","           3","           4","           1","           4"
"     3845787","مؤسسة دبي للتاكسي","الإمارات العربية المتحدة","           5","           5","تاجر","    21959820","خارج","02MAR26:00:00:00","توجد","           3","          10","           7","          10"
"       87437","سونيل راو","الهند","           1","           1","مبرمج","    91210355","خارج","11DEC24:00:00:00","لاتوجد","           1","           2","           1","           2"
"    46021499","نووان بيريرا","سريلانكا","           0","           1","أخصائي تسويق","    22214591","داخل الدولة","03JUN25:00:00:00","توجد","           0","           1","           1","           1"
"    97230442","راجيش شاه","الهند","           2","           2","بحار","    29083797","داخل","08APR26:00:00:00","لاتوجد","           1","           4","           3","           4"
"      133315","مانوج فيرما","الهند","           0","           1","بائع","    22806000","داخل","20MAR24:00:00:00","توجد","           1","           1","           0","           1"
"    45479759","أنيل فيرما","الهند","           0","           1","جندي","    92022547","خارج","14FEB25:00:00:00","لاتوجد","           0","           1","           1","           1"
"    12852608","رحمن شودري","بنغلاديش","           2","           0","سباك","    23940717","خارج الدولة","30MAR25:00:00:00","لاتوجد","           1","           2","           1","           2"
"    97886363","فيصل خان","باكستان","           1","           2","مصمم","    86293035","داخل الدولة","13MAY26:00:00:00","لاتوجد","           2","           3","           1","           3"
"     9377429","جهانغير حسين","بنغلاديش","           3","           2","طبيب","    18680380","خارج الدولة","24FEB26:00:00:00","توجد","           1","           5","           4","           5"
"    42954595","عبدالله الظاهري","الإمارات العربية المتحدة","          13","           7","منسق","    20554381","خارج","11FEB25:00:00:00","توجد","           5","          20","          15","          20"
"      387614","عثمان قريشي","باكستان","           6","           1","طبيب","    72148808","داخل الدولة","15APR24:00:00:00","لاتوجد","           3","           7","           4","           7"
"      295869","محمود حسن","العراق","           8","           7","محلل مالي","    58253170","خارج الدولة","27NOV24:00:00:00","لاتوجد","          10","          15","           5","          15"
"       23713","عبدال علي","بنغلاديش","           3","           9","مضيف طيران","    93773087","خارج الدولة","20MAR24:00:00:00","لاتوجد","           4","          12","           8","          12"
"    72137515","أحمد علي","لبنان","           2","           0","صحفي","    73950384","داخل الدولة","17SEP24:00:00:00","توجد","           1","           2","           1","           2"
"    36891504","سلطان حسن","العراق","           2","           3","جندي","    41979842","خارج","29AUG24:00:00:00","توجد","           1","           5","           4","           5"
"     1313266","سلمى حبيب","لبنان","           3","           2","مهندس","    18910542","داخل","05APR24:00:00:00","لاتوجد","           3","           5","           2","           5"
"     7712036","أدنوك للتوزيع","الإمارات العربية المتحدة","           2","           5","رجل أعمال","    79634772","خارج","10MAR24:00:00:00","توجد","           4","           7","           3","           7"
"       95327","الإمارات لتجارة مستحضرات التجميل","الإمارات العربية المتحدة","           3","           5","مدير مشروع","    40588012","داخل","02MAY24:00:00:00","توجد","           2","           8","           6","           8"
"     9665971","جهانغير إسلام","بنغلاديش","           1","           2","مهندس","    91087135","داخل الدولة","22OCT24:00:00:00","لاتوجد","           1","           3","           2","           3"
"    51671659","زايد عوض","مصر","           4","           5","طالب","    47450991","خارج","05MAR24:00:00:00","لاتوجد","           6","           9","           3","           9"
"      373862","كامران أحمد","باكستان","           0","           2","مزارع","    26757380","خارج","18MAY25:00:00:00","لاتوجد","           1","           2","           1","           2"
"      790023","الصقر للمعدات الثقيلة","الإمارات العربية المتحدة","           4","           3","مقاول","    39526343","داخل الدولة","02JUL24:00:00:00","توجد","           5","           7","           2","           7"
"     5115028","أنيتا سينغ","الهند","           3","           5","طبيب أسنان","    15012689","خارج الدولة","19JUN26:00:00:00","لاتوجد","           6","           8","           2","           8"
"    28761126","أرون ناير","الهند","           3","           0","طبيب","    95627494","داخل الدولة","04JUN24:00:00:00","لاتوجد","           1","           3","           2","           3"
"    48230729","كريستينا غارسيا","الفلبين","          16","          12","مهندس معماري","    12866920","خارج الدولة","26JUL26:00:00:00","لاتوجد","          12","          28","          16","          28"
"      454099","حسين الفلاسي","الإمارات العربية المتحدة","           1","           1","مهندس","    65349881","خارج","07OCT24:00:00:00","توجد","           1","           2","           1","           2"
"    24629991","الصحراء لتأجير السيارات","الإمارات العربية المتحدة","           9","          17","رجل أعمال","    57102638","خارج الدولة","29DEC24:00:00:00","لاتوجد","          18","          26","           8","          26"
"    14017413","أحمد الشامسي","الإمارات العربية المتحدة","           0","           1","حارس أمن","    59492845","داخل الدولة","27JAN25:00:00:00","توجد","           0","           1","           1","           1"
"    48534250","سونيل فرناندو","سريلانكا","           0","           3","مذيع","    28961473","خارج الدولة","15MAR26:00:00:00","توجد","           2","           3","           1","           3"
"    53862696","زيشان بت","باكستان","           1","           0","مهندس معماري","    99691500","خارج","29JUN25:00:00:00","لاتوجد","           0","           1","           1","           1"
"     1637114","أحمد الزعابي","الإمارات العربية المتحدة","           0","           1","مهندس مدني","    12440478","داخل","10JUN26:00:00:00","لاتوجد","           0","           1","           1","           1"
"    15782763","أدنوك للتوزيع","الإمارات العربية المتحدة","           5","           1","رجل أعمال","    45376926","داخل","19JUN25:00:00:00","توجد","           3","           6","           3","           6"
"    77413004","رافي سينغ","الهند","           3","           3","فني","    52664956","خارج","12MAR26:00:00:00","توجد","           2","           6","           4","           6"
"       52982","خالد المهيري","الإمارات العربية المتحدة","           3","           2","سائق","    10328349","داخل الدولة","19NOV24:00:00:00","لاتوجد","           4","           5","           1","           5"
"    28105514","بريا فيرما","الهند","           3","           2","طبيب","    59880214","داخل الدولة","17FEB26:00:00:00","لاتوجد","           3","           5","           2","           5"
"    54275206","كاسون فرناندو","سريلانكا","           1","           1","مضيف طيران","    87730475","خارج","11OCT24:00:00:00","لاتوجد","           1","           2","           1","           2"
"    93774941","خالد الكتبي","الإمارات العربية المتحدة","           1","           0","فني أشعة","    17132210","خارج","10MAR24:00:00:00","لاتوجد","           1","           1","           0","           1"
"    70938725","ماجد خليل","السودان","           4","           7","حداد","    78696729","داخل","06MAR24:00:00:00","توجد","           9","          11","           2","          11"
"     4284707","عدنان شيخ","باكستان","           0","           1","صحفي","    66567184","خارج","24MAR26:00:00:00","توجد","           1","           1","           0","           1"
"      119680","عمران مالك","باكستان","           0","           2","طاهي","    22641726","خارج الدولة","09MAY24:00:00:00","لاتوجد","           1","           2","           1","           2"
"    83718432","يوسف السويدي","الإمارات العربية المتحدة","           2","           1","رجل أعمال","    73122964","خارج","14AUG25:00:00:00","لاتوجد","           2","           3","           1","           3"
"    97908298","حمدان القبيسي","الإمارات العربية المتحدة","           2","           1","مستشار","    82032074","داخل الدولة","30JAN24:00:00:00","توجد","           2","           3","           1","           3"
"      404988","عدنان بت","باكستان","           1","           4","مدقق حسابات","    93491194","داخل","07APR26:00:00:00","توجد","           3","           5","           2","           5"
"    14525331","جون أكينو","الفلبين","           5","           1","خياط","    94474257","داخل","14APR26:00:00:00","لاتوجد","           3","           6","           3","           6"
"       76757","النابودة للنقل","الإمارات العربية المتحدة","           6","          11","مقاول","    25866397","خارج","21APR26:00:00:00","لاتوجد","           6","          17","          11","          17"
"    22683074","عبدالله حسن","اليمن","           4","           1","مهندس","    55061007","داخل الدولة","26OCT24:00:00:00","لاتوجد","           3","           5","           2","           5"
"    34533736","علي درويش","مصر","           2","           2","صيدلي","    18837309","داخل","05NOV25:00:00:00","لاتوجد","           3","           4","           1","           4"
"    61509218","رحمن ميا","بنغلاديش","           1","           0","سائق شاحنة","    13821130","خارج الدولة","27MAY25:00:00:00","متوفى","           1","           1","           0","           1"
"      790343","عمران مالك","باكستان","           6","           3","مهندس معماري","    74295451","خارج الدولة","28AUG25:00:00:00","توجد","           4","           9","           5","           9"
"      614519","خالد الكتبي","الإمارات العربية المتحدة","           1","           2","سائق أجرة","    86384549","خارج","20JUN24:00:00:00","توجد","           1","           3","           2","           3"
"    75289538","سونيل جاياواردينا","سريلانكا","           7","           8","منسق","    42469259","خارج الدولة","06SEP24:00:00:00","لاتوجد","           9","          15","           6","          15"
"     1147592","آصف رضا","باكستان","           7","           5","مبرمج","    98488733","خارج الدولة","06APR24:00:00:00","توجد","           3","          12","           9","          12"
"       77529","منصور كمال","مصر","           0","           1","مستشار","    56748102","خارج","22APR25:00:00:00","توجد","           0","           1","           1","           1"
"       59556","راشد كمال","السودان","           3","           6","نجار","    22478323","خارج الدولة","06JAN25:00:00:00","لاتوجد","           6","           9","           3","           9"
"       77117","جيمس ديفيس","الولايات المتحدة","           0","           2","مدير موارد بشرية","    60355118","داخل الدولة","13MAY26:00:00:00","لاتوجد","           0","           2","           2","           2"
"      889406","ديباك ليمبو","نيبال","           0","           1","مترجم","    85539643","داخل","07APR26:00:00:00","لاتوجد","           1","           1","           0","           1"
"    38429751","رحمن علي","بنغلاديش","          10","           6","مشرف","    89390145","خارج الدولة","19FEB24:00:00:00","لاتوجد","          13","          16","           3","          16"
"     1149537","آشا باتيل","الهند","           1","           1","مهندس معماري","    94739429","داخل الدولة","07JAN25:00:00:00","لاتوجد","           1","           2","           1","           2"
"    60847054","عبيد منصور","اليمن","           3","           4","موظف حكومي","    10922413","داخل الدولة","16APR24:00:00:00","توجد","           2","           7","           5","           7"
"    26768845","سانجاي ناير","الهند","           0","           2","مصمم","    50888751","خارج الدولة","23NOV25:00:00:00","توجد","           1","           2","           1","           2"
"      488183","راشد خليل","مصر","           5","           4","عامل توصيل","    23405427","خارج الدولة","25AUG24:00:00:00","لاتوجد","           3","           9","           6","           9"
"     6373650","الخدمات السريعة للتوصيل","الإمارات العربية المتحدة","           0","           4","رجل أعمال","    96009514","خارج","20NOV25:00:00:00","توجد","           2","           4","           2","           4"
"    99795785","سونيل شارما","الهند","           1","           0","مذيع","    71159148","داخل","03JUL25:00:00:00","لاتوجد","           1","           1","           0","           1"
"     5904669","يوسف حداد","مصر","           4","           5","بحار","    91570233","داخل الدولة","27MAY26:00:00:00","توجد","           2","           9","           7","           9"
"    63213596","مايكل راموس","الفلبين","           4","           2","متقاعد","    25768745","داخل الدولة","23JUN25:00:00:00","لاتوجد","           5","           6","           1","           6"
"     8749753","براكاش تابا","نيبال","           4","           4","ممرض","    42724036","داخل","10OCT25:00:00:00","لاتوجد","           2","           8","           6","           8"
"    51269003","سارة السويدي","الإمارات العربية المتحدة","           2","           1","وسيط عقاري","    63784578","داخل","18JAN25:00:00:00","لاتوجد","           1","           3","           2","           3"
"    65640883","رافي مينون","الهند","           1","           0","عامل","    57640389","خارج","24JUN25:00:00:00","توجد","           1","           1","           0","           1"
"     8334179","ناصر درويش","مصر","           1","           1","طيار","    38940458","خارج","27MAR26:00:00:00","لاتوجد","           1","           2","           1","           2"
"    62765459","سلطان البلوشي","الإمارات العربية المتحدة","           1","           3","جندي","    79444063","خارج","09MAR26:00:00:00","لاتوجد","           1","           4","           3","           4"
"    53834170","براكاش تابا","نيبال","           3","           5","موظف بنك","    41495788","داخل الدولة","23AUG24:00:00:00","لاتوجد","           3","           8","           5","           8"
"    98496046","حسن الكتبي","الإمارات العربية المتحدة","           0","           1","ضابط","    46730571","داخل الدولة","02AUG25:00:00:00","متوفى","           0","           1","           1","           1"
