"case_date","category","danger category description","driver name","driver name A","crime ADSC","Traffic No","وجود البلاغات الجنائية"
"2025-03-09 21:10:48","غير مقلقة","dangerous","Ramon Santos","رامون سانتوس","التلاعب في عداد المسافات","      230180","بلاغ جنائي"
"2026-01-17 08:48:45","مقلقة","dangerous","Ramon Santos","رامون سانتوس","الاعتداء بالضرب المفضي إلى إصابة","      230180","بلاغ جنائي"
"","","dangerous","Omar Al Balushi","عمر البلوشي","","      353085","بدون البلاغات الجنائية"
"","","low","Rapid Delivery Services","الخدمات السريعة للتوصيل","","      536828","بدون البلاغات الجنائية"
"","","medium","Mahmoud Hassan","محمود حسن","","     9355000","بدون البلاغات الجنائية"
"2022-08-09 06:39:54","غير مقلقة","highly dangerous","Deepa Shah","ديبا شاه","مخالفة الأنظمة الجمركية","    90922093","بلاغ جنائي"
"2021-12-02 02:54:55","غير مقلقة","medium","Al Futtaim Logistics","الفطيم للخدمات اللوجستية","مخالفة قيود الإقامة","     8213006","بلاغ جنائي"
"2025-09-04 16:40:36","غير مقلقة","medium","Al Futtaim Logistics","الفطيم للخدمات اللوجستية","القيادة بدون تأمين ساري","     8213006","بلاغ جنائي"
"2023-02-24 22:07:28","غير مقلقة","low","Majid Saleh","ماجد صالح","القيادة بلا لوحات","    79338657","بلاغ جنائي"
"2025-09-02 07:55:01","غير مقلقة","low","Majid Saleh","ماجد صالح","إثارة الشغب","    79338657","بلاغ جنائي"
"","","medium","Anne Mendoza","آن ميندوزا","","    43334679","بدون البلاغات الجنائية"
"","","low","Angelo Santos","أنجيلو سانتوس","","    30782867","بدون البلاغات الجنائية"
"","","dangerous","Faruk Ali","فاروق علي","","      608688","بدون البلاغات الجنائية"
"2022-07-04 11:03:44","مقلقة","highly dangerous","Layla Darwish","ليلى درويش","السرقة","     7419135","بلاغ جنائي"
"2021-06-24 07:09:15","مقلقة","highly dangerous","Layla Darwish","ليلى درويش","الاعتداء بالضرب المفضي إلى إصابة","     7419135","بلاغ جنائي"
"","","low","Bilal Qureshi","بلال قريشي","","      400492","بدون البلاغات الجنائية"
"","","medium","Neha Verma","نيها فيرما","","    96803721","بدون البلاغات الجنائية"
"","","medium","Rajesh Pillai","راجيش بيلاي","","    55360987","بدون البلاغات الجنائية"
"2019-06-04 18:47:22","غير مقلقة","dangerous","Hamdan Haddad","حمدان حداد","إلحاق الضرر العمدي بالممتلكات","    79855314","بلاغ جنائي"
"2020-06-05 09:26:15","غير مقلقة","medium","Zeeshan Raza","زيشان رضا","مخالفة الأنظمة الجمركية","    30970460","بلاغ جنائي"
"2026-05-19 10:34:33","غير مقلقة","medium","Zeeshan Raza","زيشان رضا","التهديد","    30970460","بلاغ جنائي"
"","","low","Shahin Ali","شاهين علي","","    97946559","بدون البلاغات الجنائية"
"","","medium","Mohammed Fahmy","محمد فهمي","","    15580789","بدون البلاغات الجنائية"
"2024-02-26 00:29:29","مقلقة","dangerous","Deepak Nair","ديباك ناير","الهروب من مسرح الحادث","    69444315","بلاغ جنائي"
"2022-02-06 09:30:51","غير مقلقة","low","Rekha Sharma","ريخا شارما","مخالفة اشتراطات النقل","    32798764","بلاغ جنائي"
"2025-01-29 04:52:19","غير مقلقة","low","Rekha Sharma","ريخا شارما","خيانة الأمانة","    32798764","بلاغ جنائي"
"","","medium","Fahad Al Ali","فهد العلي","","      353956","بدون البلاغات الجنائية"
"","","dangerous","Nazrul Chowdhury","نذرول شودري","","    78769289","بدون البلاغات الجنائية"
"","","low","Chaminda Perera","تشاميندا بيريرا","","      580488","بدون البلاغات الجنائية"
"","","dangerous","Rapid Delivery Services","الخدمات السريعة للتوصيل","","    94653342","بدون البلاغات الجنائية"
"2023-02-15 06:35:05","مقلقة","highly dangerous","Rajesh Pillai","راجيش بيلاي","قيادة مركبة مسروقة","    64482523","بلاغ جنائي"
"","","low","Prakash Tamang","براكاش تامانغ","","    26303699","بدون البلاغات الجنائية"
"","","medium","Anil Patel","أنيل باتيل","","     6503524","بدون البلاغات الجنائية"
"","","medium","Green Line Buses","الخط الأخضر للباصات","","    98390699","بدون البلاغات الجنائية"
"","","low","Abdul Ali","عبدال علي","","    24084605","بدون البلاغات الجنائية"
"","","low","Ram Shrestha","رام شريستا","","    72522665","بدون البلاغات الجنائية"
"","","low","Adnan Iqbal","عدنان إقبال","","      482552","بدون البلاغات الجنائية"
"2020-09-01 19:52:03","غير مقلقة","dangerous","Zayed Mansour","زايد منصور","الامتناع عن دفع الغرامات المستحقة","    47508530","بلاغ جنائي"
"","","dangerous","Usman Sheikh","عثمان شيخ","","       75555","بدون البلاغات الجنائية"
"2025-05-10 21:33:50","مقلقة","highly dangerous","Rey Mendoza","ري ميندوزا","القيادة بسرعة جنونية","    89531915","بلاغ جنائي"
"","","medium","Ibrahim Al Dhaheri","إبراهيم الظاهري","","    59311414","بدون البلاغات الجنائية"
"","","medium","Rajesh Iyer","راجيش آير","","      268825","بدون البلاغات الجنائية"
"","","low","Saeed Al Falasi","سعيد الفلاسي","","    22613888","بدون البلاغات الجنائية"
"","","medium","Abdul Chowdhury","عبدال شودري","","    77473404","بدون البلاغات الجنائية"
"","","low","Sultan Al Ketbi","سلطان الكتبي","","    12946556","بدون البلاغات الجنائية"
"2022-06-06 01:29:06","مقلقة","highly dangerous","Omar Ali","عمر علي","الاعتداء على موظف عام أثناء تأدية عمله","       53244","بلاغ جنائي"
"2026-01-28 11:17:14","مقلقة","highly dangerous","Omar Ali","عمر علي","القيادة تحت تأثير الكحول","       53244","بلاغ جنائي"
"2019-11-30 23:17:53","غير مقلقة","highly dangerous","Mansoor Al Rumaithi","منصور الرميثي","إثارة الشغب","     9728369","بلاغ جنائي"
"2019-02-06 23:45:44","مقلقة","medium","Hassan Abdelrahman","حسن عبدالرحمن","التسبب في حادث جسيم","      778409","بلاغ جنائي"
"2020-03-19 22:51:29","غير مقلقة","medium","Hassan Abdelrahman","حسن عبدالرحمن","الامتناع عن دفع الغرامات المستحقة","      778409","بلاغ جنائي"
"2019-08-05 01:06:01","غير مقلقة","medium","Hassan Abdelrahman","حسن عبدالرحمن","القيادة بدون رخصة قيادة","      778409","بلاغ جنائي"
"2020-12-19 11:35:16","مقلقة","dangerous","Asif Iqbal","آصف إقبال","مقاومة رجال السلطة","    41397324","بلاغ جنائي"
"2024-02-20 23:39:26","مقلقة","dangerous","Asif Iqbal","آصف إقبال","تعاطي مواد مخدرة","    41397324","بلاغ جنائي"
"","","dangerous","Rahman Hossain","رحمن حسين","","      333625","بدون البلاغات الجنائية"
"2024-04-25 01:45:46","مقلقة","dangerous","Obaid Ali","عبيد علي","غسل الأموال","    37947730","بلاغ جنائي"
"2021-09-11 03:28:08","غير مقلقة","dangerous","Obaid Ali","عبيد علي","إلحاق الضرر العمدي بالممتلكات","    37947730","بلاغ جنائي"
"2025-11-17 10:40:08","مقلقة","highly dangerous","Ali Al Falasi","علي الفلاسي","التفحيط وتعريض الأرواح للخطر","    87410596","بلاغ جنائي"
"","","medium","Salem Mansour","سالم منصور","","    56286088","بدون البلاغات الجنائية"
"2021-03-08 12:09:46","غير مقلقة","medium","Neha Verma","نيها فيرما","القيادة برخصة منتهية","    74635157","بلاغ جنائي"
"2023-02-06 08:12:15","غير مقلقة","medium","Neha Verma","نيها فيرما","القيادة برخصة منتهية","    74635157","بلاغ جنائي"
"2023-10-04 16:33:32","غير مقلقة","medium","Neha Verma","نيها فيرما","مخالفة الأنظمة الجمركية","    74635157","بلاغ جنائي"
"","","highly dangerous","Ramesh Sharma","راميش شارما","","    32201889","بدون البلاغات الجنائية"
"2026-05-27 10:30:06","غير مقلقة","highly dangerous","Khalid Al Mazrouei","خالد المزروعي","القيادة بدون رخصة قيادة","    77374628","بلاغ جنائي"
"2022-02-11 04:44:22","مقلقة","highly dangerous","Khalid Al Mazrouei","خالد المزروعي","قيادة مركبة مسروقة","    77374628","بلاغ جنائي"
"2020-10-05 11:53:34","مقلقة","highly dangerous","Khalid Al Mazrouei","خالد المزروعي","انتحال صفة","    77374628","بلاغ جنائي"
"2021-07-24 05:16:16","مقلقة","highly dangerous","Khalid Al Mazrouei","خالد المزروعي","الاعتداء بالضرب المفضي إلى إصابة","    77374628","بلاغ جنائي"
"2022-08-14 20:54:57","مقلقة","highly dangerous","Khalid Al Mazrouei","خالد المزروعي","النصب والاحتيال","    77374628","بلاغ جنائي"
"","","dangerous","Saeed Hassan","سعيد حسن","","    41216829","بدون البلاغات الجنائية"
"2022-05-15 08:23:15","مقلقة","dangerous","Huda Ibrahim","هدى إبراهيم","الاتجار بالمواد المخدرة","     6087238","بلاغ جنائي"
"","","dangerous","Saeed Fahmy","سعيد فهمي","","    92817156","بدون البلاغات الجنائية"
"","","dangerous","Latifa Mansour","لطيفة منصور","","     7449133","بدون البلاغات الجنائية"
"2020-01-18 13:47:05","غير مقلقة","dangerous","Dubai Taxi Corporation","مؤسسة دبي للتاكسي","التعدي على الأملاك الخاصة","     3845787","بلاغ جنائي"
"2026-01-26 20:56:44","مقلقة","dangerous","Dubai Taxi Corporation","مؤسسة دبي للتاكسي","حيازة مواد مخدرة","     3845787","بلاغ جنائي"
"2019-07-28 18:23:26","مقلقة","dangerous","Dubai Taxi Corporation","مؤسسة دبي للتاكسي","عدم الالتزام بالإقامة الجبرية","     3845787","بلاغ جنائي"
"","","low","Sunil Rao","سونيل راو","","       87437","بدون البلاغات الجنائية"
"2023-01-10 07:18:53","غير مقلقة","low","Nuwan Perera","نووان بيريرا","القيادة بدون رخصة قيادة","    46021499","بلاغ جنائي"
"","","highly dangerous","Rajesh Shah","راجيش شاه","","    97230442","بدون البلاغات الجنائية"
"2019-03-31 19:58:22","غير مقلقة","low","Manoj Verma","مانوج فيرما","القيادة بلا لوحات","      133315","بلاغ جنائي"
"2025-03-31 18:29:21","غير مقلقة","low","Manoj Verma","مانوج فيرما","القيادة بلا لوحات","      133315","بلاغ جنائي"
"","","low","Anil Verma","أنيل فيرما","","    45479759","بدون البلاغات الجنائية"
"","","highly dangerous","Rahman Chowdhury","رحمن شودري","","    12852608","بدون البلاغات الجنائية"
"","","low","Faisal Khan","فيصل خان","","    97886363","بدون البلاغات الجنائية"
"2019-02-19 11:37:15","مقلقة","dangerous","Jahangir Hossain","جهانغير حسين","عدم الالتزام بالإقامة الجبرية","     9377429","بلاغ جنائي"
"2019-02-19 18:24:27","مقلقة","dangerous","Jahangir Hossain","جهانغير حسين","القيادة أثناء سحب الرخصة","     9377429","بلاغ جنائي"
"2025-10-27 04:40:13","مقلقة","dangerous","Jahangir Hossain","جهانغير حسين","عدم الالتزام بالإقامة الجبرية","     9377429","بلاغ جنائي"
"2022-01-12 22:54:01","مقلقة","highly dangerous","Abdullah Al Dhaheri","عبدالله الظاهري","التحرش","    42954595","بلاغ جنائي"
"","","medium","Usman Qureshi","عثمان قريشي","","      387614","بدون البلاغات الجنائية"
"","","low","Mahmoud Hassan","محمود حسن","","      295869","بدون البلاغات الجنائية"
"","","dangerous","Abdul Ali","عبدال علي","","       23713","بدون البلاغات الجنائية"
"2025-06-16 02:32:20","مقلقة","dangerous","Ahmed Ali","أحمد علي","النصب والاحتيال","    72137515","بلاغ جنائي"
"2021-07-26 08:46:59","مقلقة","medium","Sultan Hassan","سلطان حسن","حيازة مواد مخدرة","    36891504","بلاغ جنائي"
"","","low","Salma Habib","سلمى حبيب","","     1313266","بدون البلاغات الجنائية"
"2023-05-08 11:25:11","مقلقة","highly dangerous","ADNOC Distribution","أدنوك للتوزيع","التسبب في حادث جسيم","     7712036","بلاغ جنائي"
"2025-12-14 04:17:38","مقلقة","highly dangerous","ADNOC Distribution","أدنوك للتوزيع","تعاطي مواد مخدرة","     7712036","بلاغ جنائي"
"2025-07-09 17:31:44","مقلقة","highly dangerous","ADNOC Distribution","أدنوك للتوزيع","الابتزاز الإلكتروني","     7712036","بلاغ جنائي"
"2022-03-01 19:45:58","مقلقة","highly dangerous","ADNOC Distribution","أدنوك للتوزيع","التزوير في محرر رسمي","     7712036","بلاغ جنائي"
"2019-08-15 08:57:10","غير مقلقة","highly dangerous","ADNOC Distribution","أدنوك للتوزيع","مخالفة الأنظمة الجمركية","     7712036","بلاغ جنائي"
"2022-02-23 11:26:10","مقلقة","highly dangerous","ADNOC Distribution","أدنوك للتوزيع","حيازة ممنوعات","     7712036","بلاغ جنائي"
"2022-10-08 19:29:40","غير مقلقة","highly dangerous","Emirates Beauty Trading","الإمارات لتجارة مستحضرات التجميل","القيادة برخصة منتهية","       95327","بلاغ جنائي"
"2021-06-14 07:20:33","مقلقة","highly dangerous","Emirates Beauty Trading","الإمارات لتجارة مستحضرات التجميل","السرقة","       95327","بلاغ جنائي"
"","","dangerous","Jahangir Islam","جهانغير إسلام","","     9665971","بدون البلاغات الجنائية"
"","","low","Zayed Awad","زايد عوض","","    51671659","بدون البلاغات الجنائية"
"","","low","Kamran Ahmed","كامران أحمد","","      373862","بدون البلاغات الجنائية"
"2026-02-11 16:56:23","مقلقة","medium","Falcon Heavy Equipment","الصقر للمعدات الثقيلة","التزوير في اللوحات","      790023","بلاغ جنائي"
"","","medium","Anita Singh","أنيتا سينغ","","     5115028","بدون البلاغات الجنائية"
"","","low","Arun Nair","أرون ناير","","    28761126","بدون البلاغات الجنائية"
"","","medium","Cristina Garcia","كريستينا غارسيا","","    48230729","بدون البلاغات الجنائية"
"2022-01-23 13:55:17","غير مقلقة","medium","Hussein Al Falasi","حسين الفلاسي","التعدي على الأملاك الخاصة","      454099","بلاغ جنائي"
"2023-12-19 14:15:30","غير مقلقة","medium","Hussein Al Falasi","حسين الفلاسي","مخالفة اشتراطات النقل","      454099","بلاغ جنائي"
"2019-07-18 01:40:13","غير مقلقة","medium","Hussein Al Falasi","حسين الفلاسي","مخالفة الأنظمة الجمركية","      454099","بلاغ جنائي"
"2019-05-22 23:16:08","غير مقلقة","medium","Hussein Al Falasi","حسين الفلاسي","القيادة بدون تأمين ساري","      454099","بلاغ جنائي"
"2019-08-11 05:08:55","غير مقلقة","medium","Hussein Al Falasi","حسين الفلاسي","مخالفة الأنظمة الجمركية","      454099","بلاغ جنائي"
"","","medium","Sahara Car Rental","الصحراء لتأجير السيارات","","    24629991","بدون البلاغات الجنائية"
"2019-04-07 04:18:47","غير مقلقة","low","Ahmed Al Shamsi","أحمد الشامسي","مخالفة اشتراطات النقل","    14017413","بلاغ جنائي"
"2020-09-20 20:30:05","غير مقلقة","low","Ahmed Al Shamsi","أحمد الشامسي","مخالفة الأنظمة الجمركية","    14017413","بلاغ جنائي"
"2024-05-29 21:13:32","غير مقلقة","low","Sunil Fernando","سونيل فرناندو","القيادة عكس اتجاه السير","    48534250","بلاغ جنائي"
"","","medium","Zeeshan Butt","زيشان بت","","    53862696","بدون البلاغات الجنائية"
"","","low","Ahmed Al Zaabi","أحمد الزعابي","","     1637114","بدون البلاغات الجنائية"
"2020-08-10 09:17:27","غير مقلقة","dangerous","ADNOC Distribution","أدنوك للتوزيع","التهديد","    15782763","بلاغ جنائي"
"2023-01-09 14:58:23","غير مقلقة","dangerous","ADNOC Distribution","أدنوك للتوزيع","مخالفة قيود الإقامة","    15782763","بلاغ جنائي"
"2024-06-28 05:48:15","غير مقلقة","dangerous","ADNOC Distribution","أدنوك للتوزيع","القيادة برخصة منتهية","    15782763","بلاغ جنائي"
"2020-07-04 06:02:56","مقلقة","dangerous","ADNOC Distribution","أدنوك للتوزيع","الاعتداء بالضرب المفضي إلى إصابة","    15782763","بلاغ جنائي"
"2023-10-15 10:03:28","مقلقة","low","Ravi Singh","رافي سينغ","عرقلة سير العدالة","    77413004","بلاغ جنائي"
"2021-12-14 03:35:00","غير مقلقة","low","Ravi Singh","رافي سينغ","مخالفة اشتراطات النقل","    77413004","بلاغ جنائي"
"","","highly dangerous","Khalid Al Muhairi","خالد المهيري","","       52982","بدون البلاغات الجنائية"
"","","medium","Priya Verma","بريا فيرما","","    28105514","بدون البلاغات الجنائية"
"","","low","Kasun Fernando","كاسون فرناندو","","    54275206","بدون البلاغات الجنائية"
"","","low","Khalid Al Ketbi","خالد الكتبي","","    93774941","بدون البلاغات الجنائية"
"2023-04-14 17:24:13","غير مقلقة","low","Majid Khalil","ماجد خليل","إتلاف ممتلكات عامة","    70938725","بلاغ جنائي"
"2022-04-14 04:21:01","مقلقة","highly dangerous","Adnan Sheikh","عدنان شيخ","تعاطي مواد مخدرة","     4284707","بلاغ جنائي"
"2020-03-17 09:33:10","غير مقلقة","highly dangerous","Adnan Sheikh","عدنان شيخ","مخالفة قيود الإقامة","     4284707","بلاغ جنائي"
"","","medium","Imran Malik","عمران مالك","","      119680","بدون البلاغات الجنائية"
"","","low","Youssef Al Suwaidi","يوسف السويدي","","    83718432","بدون البلاغات الجنائية"
"2023-02-25 12:31:41","غير مقلقة","low","Hamdan Al Qubaisi","حمدان القبيسي","الامتناع عن دفع الغرامات المستحقة","    97908298","بلاغ جنائي"
"2026-05-11 12:59:23","مقلقة","low","Hamdan Al Qubaisi","حمدان القبيسي","الاتجار بالمواد المخدرة","    97908298","بلاغ جنائي"
"2025-06-09 22:03:06","مقلقة","medium","Adnan Butt","عدنان بت","الهروب من مسرح الحادث","      404988","بلاغ جنائي"
"","","low","John Aquino","جون أكينو","","    14525331","بدون البلاغات الجنائية"
"","","dangerous","Al Naboodah Transport","النابودة للنقل","","       76757","بدون البلاغات الجنائية"
"","","low","Abdullah Hassan","عبدالله حسن","","    22683074","بدون البلاغات الجنائية"
"","","dangerous","Ali Darwish","علي درويش","","    34533736","بدون البلاغات الجنائية"
"","","highly dangerous","Rahman Miah","رحمن ميا","","    61509218","بدون البلاغات الجنائية"
"2024-06-24 07:35:14","مقلقة","highly dangerous","Imran Malik","عمران مالك","الاعتداء على موظف عام أثناء تأدية عمله","      790343","بلاغ جنائي"
"2019-01-18 17:55:31","مقلقة","highly dangerous","Imran Malik","عمران مالك","التسبب في حادث جسيم","      790343","بلاغ جنائي"
"2021-03-06 07:08:37","مقلقة","highly dangerous","Imran Malik","عمران مالك","الاعتداء على موظف عام أثناء تأدية عمله","      790343","بلاغ جنائي"
"2019-02-09 17:14:18","مقلقة","highly dangerous","Imran Malik","عمران مالك","غسل الأموال","      790343","بلاغ جنائي"
"2026-03-15 15:54:32","غير مقلقة","medium","Khalid Al Ketbi","خالد الكتبي","التعدي على الأملاك الخاصة","      614519","بلاغ جنائي"
"2019-11-15 18:18:40","مقلقة","medium","Khalid Al Ketbi","خالد الكتبي","القيادة أثناء سحب الرخصة","      614519","بلاغ جنائي"
"","","highly dangerous","Sunil Jayawardena","سونيل جاياواردينا","","    75289538","بدون البلاغات الجنائية"
"2025-01-13 14:59:07","غير مقلقة","highly dangerous","Asif Raza","آصف رضا","القيادة بدون رخصة قيادة","     1147592","بلاغ جنائي"
"2022-11-13 15:02:38","مقلقة","highly dangerous","Mansoor Kamal","منصور كمال","التفحيط وتعريض الأرواح للخطر","       77529","بلاغ جنائي"
"","","low","Rashid Kamal","راشد كمال","","       59556","بدون البلاغات الجنائية"
"","","low","James Davis","جيمس ديفيس","","       77117","بدون البلاغات الجنائية"
"","","low","Dipak Limbu","ديباك ليمبو","","      889406","بدون البلاغات الجنائية"
"","","low","Rahman Ali","رحمن علي","","    38429751","بدون البلاغات الجنائية"
"","","low","Asha Patel","آشا باتيل","","     1149537","بدون البلاغات الجنائية"
"2024-05-06 06:43:52","غير مقلقة","highly dangerous","Obaid Mansour","عبيد منصور","القيادة بدون تأمين ساري","    60847054","بلاغ جنائي"
"2022-01-08 01:41:20","مقلقة","highly dangerous","Obaid Mansour","عبيد منصور","السرقة","    60847054","بلاغ جنائي"
"2024-09-07 12:26:11","مقلقة","highly dangerous","Obaid Mansour","عبيد منصور","حيازة مواد مخدرة","    60847054","بلاغ جنائي"
"2021-05-06 21:05:28","غير مقلقة","highly dangerous","Obaid Mansour","عبيد منصور","القيادة عكس اتجاه السير","    60847054","بلاغ جنائي"
"2019-09-08 05:38:10","غير مقلقة","highly dangerous","Obaid Mansour","عبيد منصور","التلاعب في عداد المسافات","    60847054","بلاغ جنائي"
"2024-07-12 16:41:21","مقلقة","highly dangerous","Obaid Mansour","عبيد منصور","الاعتداء على موظف عام أثناء تأدية عمله","    60847054","بلاغ جنائي"
"2024-06-18 14:24:50","غير مقلقة","medium","Sanjay Nair","سانجاي ناير","إصدار شيك بدون رصيد","    26768845","بلاغ جنائي"
"2019-09-17 12:42:34","مقلقة","medium","Sanjay Nair","سانجاي ناير","الهروب من مسرح الحادث","    26768845","بلاغ جنائي"
"2020-12-25 12:47:53","غير مقلقة","medium","Sanjay Nair","سانجاي ناير","السب والقذف","    26768845","بلاغ جنائي"
"","","dangerous","Rashid Khalil","راشد خليل","","      488183","بدون البلاغات الجنائية"
"2026-05-07 11:17:56","غير مقلقة","medium","Rapid Delivery Services","الخدمات السريعة للتوصيل","القيادة بلا لوحات","     6373650","بلاغ جنائي"
"2022-09-15 16:51:37","غير مقلقة","medium","Rapid Delivery Services","الخدمات السريعة للتوصيل","خيانة الأمانة","     6373650","بلاغ جنائي"
"","","low","Sunil Sharma","سونيل شارما","","    99795785","بدون البلاغات الجنائية"
"2025-10-13 07:03:34","مقلقة","dangerous","Youssef Haddad","يوسف حداد","غسل الأموال","     5904669","بلاغ جنائي"
"2024-10-27 19:44:08","غير مقلقة","dangerous","Youssef Haddad","يوسف حداد","إثارة الشغب","     5904669","بلاغ جنائي"
"2020-06-18 07:08:18","مقلقة","dangerous","Youssef Haddad","يوسف حداد","عرقلة سير العدالة","     5904669","بلاغ جنائي"
"","","highly dangerous","Michael Ramos","مايكل راموس","","    63213596","بدون البلاغات الجنائية"
"","","dangerous","Prakash Thapa","براكاش تابا","","     8749753","بدون البلاغات الجنائية"
"","","medium","Sara Al Suwaidi","سارة السويدي","","    51269003","بدون البلاغات الجنائية"
"2024-04-24 03:41:07","مقلقة","highly dangerous","Ravi Menon","رافي مينون","الهروب من مسرح الحادث","    65640883","بلاغ جنائي"
"2021-10-20 23:24:03","مقلقة","highly dangerous","Ravi Menon","رافي مينون","التفحيط وتعريض الأرواح للخطر","    65640883","بلاغ جنائي"
"2021-06-08 00:45:54","مقلقة","highly dangerous","Ravi Menon","رافي مينون","القيادة بسرعة جنونية","    65640883","بلاغ جنائي"
"","","low","Nasser Darwish","ناصر درويش","","     8334179","بدون البلاغات الجنائية"
"","","medium","Sultan Al Balushi","سلطان البلوشي","","    62765459","بدون البلاغات الجنائية"
"","","low","Prakash Thapa","براكاش تابا","","    53834170","بدون البلاغات الجنائية"
"","","low","Hassan Al Ketbi","حسن الكتبي","","    98496046","بدون البلاغات الجنائية"
"2023-10-24 08:40:57","مقلقة","highly dangerous","Rashid Kamal","راشد كمال","السرقة","     7365486","بلاغ جنائي"
"2019-01-01 10:15:31","مقلقة","highly dangerous","Rashid Kamal","راشد كمال","عرقلة سير العدالة","     7365486","بلاغ جنائي"
"","","highly dangerous","Ali Habib","علي حبيب","","      417140","بدون البلاغات الجنائية"
"","","highly dangerous","Prakash Kumar","براكاش كومار","","    45069643","بدون البلاغات الجنائية"
"","","medium","Andrew Davis","أندرو ديفيس","","    53560900","بدون البلاغات الجنائية"
"","","low","Majid Habib","ماجد حبيب","","    60978094","بدون البلاغات الجنائية"
"","","low","Juma Fahmy","جمعة فهمي","","    10350039","بدون البلاغات الجنائية"
"2020-12-30 05:12:23","مقلقة","medium","Krishna Thapa","كريشنا تابا","التزوير في محرر رسمي","     5283846","بلاغ جنائي"
"2019-06-26 01:35:51","غير مقلقة","medium","Krishna Thapa","كريشنا تابا","خيانة الأمانة","     5283846","بلاغ جنائي"
"2024-08-02 18:59:07","غير مقلقة","medium","Krishna Thapa","كريشنا تابا","مخالفة قيود الإقامة","     5283846","بلاغ جنائي"
"","","low","Faisal Sheikh","فيصل شيخ","","    42150776","بدون البلاغات الجنائية"
"2025-08-18 01:26:02","مقلقة","highly dangerous","Omar Mansour","عمر منصور","مقاومة رجال السلطة","    33716442","بلاغ جنائي"
"2026-02-08 08:40:25","مقلقة","highly dangerous","Omar Mansour","عمر منصور","الدخول للبلاد بطريقة غير مشروعة","    33716442","بلاغ جنائي"
